feature,family,source,evidence_group,new_data_tier,reason,best_target,development_ic,newey_west_t_stat,p_value,auc,cpcv_fold_stability,macro_tier1_redundancy,crypto_tier1_redundancy,holdout_sign_consistent
active_address_growth_7d,on-chain,Blockchain.com BTC active addresses,Genuine New / Alternative Data Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",eth_outperforms_btc_30d,0.07465221154351226,1.6254550062943918,0.10406564350189415,0.5463108320251177,0.9333333333333333,0.06856619133168129,0.09302689180737961,False
active_address_growth_30d,on-chain,Blockchain.com BTC active addresses,Genuine New / Alternative Data Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",eth_outperforms_btc_30d,0.09037798007689135,0.8381259142967153,0.40195999007817274,0.5560663825969949,0.8,0.1529106056545081,0.2759009283399527,True
transaction_count_growth_7d,on-chain,Blockchain.com BTC transaction count,Genuine New / Alternative Data Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",frozen_macro_drawdown_avoidance,0.06477000259340537,2.107249694448793,0.03509594139805133,0.5373967945604663,0.8666666666666667,0.06337463349658472,0.06533236241959751,False
transaction_count_growth_30d,on-chain,Blockchain.com BTC transaction count,Genuine New / Alternative Data Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",eth_outperforms_btc_30d,0.09263742957881364,1.0593412087246343,0.2894444139956019,0.5574680421619197,0.8,0.15240596615558444,0.13412958992227286,True
funding_level,derivatives/crowding,Binance futures funding,Genuine New / Alternative Data Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",eth_outperforms_btc_30d,0.15967649456257543,1.9425952120573777,0.05206508587097317,0.5987048665620094,0.8666666666666667,0.31042325598312087,0.6565658488204624,True
funding_change,derivatives/crowding,Binance futures funding,Genuine New / Alternative Data Tier-1,New Data Tier 1,"Strong development IC/t-stat, stable CPCV sign, non-redundant, and holdout sign diagnostic is consistent.",frozen_macro_drawdown_avoidance,0.1019657900164664,2.189000822948512,0.028596780204468927,0.5588392423506557,1.0,0.19042504851121478,0.1100288604986739,True
open_interest_growth,derivatives/crowding,Binance futures open interest,Genuine New / Alternative Data Tier-1,New Data Tier 3,"Weak, unstable, redundant, or no holdout diagnostic support.",btc_forward_30d_return,,,,,,,,False
long_short_ratio,derivatives/crowding,Binance long/short ratio,Genuine New / Alternative Data Tier-1,New Data Tier 3,"Weak, unstable, redundant, or no holdout diagnostic support.",btc_forward_30d_return,,,,,,,,False
taker_buy_sell_imbalance,derivatives/crowding,Binance taker buy/sell flow,Genuine New / Alternative Data Tier-1,New Data Tier 3,"Weak, unstable, redundant, or no holdout diagnostic support.",btc_forward_30d_return,,,,,,,,False
leverage_crowding_score,derivatives/crowding,Binance funding + open interest,Genuine New / Alternative Data Tier-1,New Data Tier 3,"Weak, unstable, redundant, or no holdout diagnostic support.",btc_forward_30d_return,,,,,,,,False
credit_spread_level,macro/vintage,WRDS macro feature file,Additional Macro / WRDS Extension Tier-1,New Data Tier 1,"Strong development IC/t-stat, stable CPCV sign, non-redundant, and holdout sign diagnostic is consistent.",frozen_macro_drawdown_avoidance,-0.29307148934653693,-4.314385010400412,1.6004781193015072e-05,0.669208353569694,0.8666666666666667,0.5511988638802553,0.46174736425989776,True
credit_spread_change,macro/vintage,WRDS macro feature file,Additional Macro / WRDS Extension Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",frozen_macro_positive_next_period,-0.12651663833935697,0.11012979743779652,0.9123064369457431,0.5749897624897624,0.8666666666666667,0.6292178527401837,0.3070399883016282,False
