feature,source_family,source,used,notes,family,rationale,availability,used_in_final_overlay
equity_realized_vol_21d,WRDS-derived macro,data/processed/wrds_macro_features/wrds_macro_features_daily.csv,True,Lagged one day; includes validated macro/rates/USD/credit/equity features where available.,,,,
equity_momentum_21d,WRDS-derived macro,data/processed/wrds_macro_features/wrds_macro_features_daily.csv,True,Lagged one day; includes validated macro/rates/USD/credit/equity features where available.,,,,
dow_vol_level,WRDS-derived macro,data/processed/wrds_macro_features/wrds_macro_features_daily.csv,True,Lagged one day; includes validated macro/rates/USD/credit/equity features where available.,,,,
vix_level,WRDS-derived macro,data/processed/wrds_macro_features/wrds_macro_features_daily.csv,True,Lagged one day; includes validated macro/rates/USD/credit/equity features where available.,,,,
vix_change_5d,WRDS-derived macro,data/processed/wrds_macro_features/wrds_macro_features_daily.csv,True,Lagged one day; includes validated macro/rates/USD/credit/equity features where available.,,,,
vix_change_21d,WRDS-derived macro,data/processed/wrds_macro_features/wrds_macro_features_daily.csv,True,Lagged one day; includes validated macro/rates/USD/credit/equity features where available.,,,,
stablecoin_supply_acceleration,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,liquidity_inflow,acceleration in stablecoin liquidity,available,False
stablecoin_supply_percentile,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,liquidity_inflow,stablecoin supply relative to its own history,available,False
tvl_acceleration,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,liquidity_inflow,acceleration in DeFi liquidity,available,False
tvl_percentile,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,liquidity_inflow,TVL relative to its own history,available,False
combined_crypto_liquidity_impulse,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,liquidity_inflow,joint stablecoin and TVL liquidity impulse,available,False
top20_above_30dma_pct,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,participation_breadth,share of top-20 above 30d moving average,available,False
top20_30d_high_pct,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,participation_breadth,share of top-20 making 30d highs,available,False
eth_btc_relative_strength_14d,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,leadership,ETH/BTC 14d relative strength,available,False
eth_btc_relative_strength_30d,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,leadership,ETH/BTC 30d relative strength,available,False
market_dollar_volume_growth_30d,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,volume_attention,market dollar-volume growth,available,False
volume_confirmation_of_price_trend,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,volume_attention,volume breadth confirming price breadth,available,False
volatility_of_volatility,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,volatility_structure,volatility-of-volatility,available,False
dispersion_acceleration,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,volatility_structure,cross-sectional dispersion acceleration,available,False
upside_semivariance,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,volatility_structure,upside volatility participation,available,False
downside_to_upside_volatility_ratio,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,volatility_structure,downside-to-upside volatility balance,available,False
jump_intensity,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,volatility_structure,frequency of large market moves,available,False
distance_from_90d_lows,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,recovery_capitulation,average distance from 90d lows,available,False
recovery_from_drawdown,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,recovery_capitulation,market recovery from recent drawdown trough,available,False
falling_vix_after_high_vix,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,macro_recovery,falling VIX after high-volatility regime,available,False
risk_appetite_recovery_score,Expansion Tier-1 crypto-native,reports/upside_expansion_models/expansion_feature_tiers.csv,True,Previously validated Expansion Tier-1 feature.,macro_recovery,combined macro risk-appetite recovery score,available,False
funding_rate_btc_eth_mean,derivatives/funding,data\processed\derivatives\derivatives_daily_merged.csv,True,"BTC/ETH Binance futures-derived feature, lagged one day.",,,,
basis_close_btc_eth_mean,derivatives/funding,data\processed\derivatives\derivatives_daily_merged.csv,True,"BTC/ETH Binance futures-derived feature, lagged one day.",,,,
open_interest_growth_7d,derivatives/funding,data\processed\derivatives\derivatives_daily_merged.csv,True,"BTC/ETH Binance futures-derived feature, lagged one day.",,,,
long_short_ratio_btc_eth_mean,derivatives/funding,data\processed\derivatives\derivatives_daily_merged.csv,True,"BTC/ETH Binance futures-derived feature, lagged one day.",,,,
taker_imbalance_btc_eth_mean,derivatives/funding,data\processed\derivatives\derivatives_daily_merged.csv,True,"BTC/ETH Binance futures-derived feature, lagged one day.",,,,
new_data_tier1,ETF/on-chain/options,reports\new_data_expansion_strategy\feature_tiers.csv,False,No New Data Tier-1 features found; ETF/on-chain/options skipped.,,,,
