strategy_name,strategy_family,holdout_sharpe,holdout_cagr,max_drawdown,turnover,exposure,cost_50bps_survival,pbo,dsr_probability,bootstrap_ci,economic_rationale,main_failure_mode,replacement_status,source,tested_configurations,locked_holdout,costs_included,no_holdout_reselection,missing_metrics
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,0.9700672636549106,0.2506806098543801,-0.1841866027754544,10.176579925650557,0.2894981412639405,True,0.6142857142857143,0.4244907917328414,,Macro-regime risk gate allocates to BTC/ETH only when Tier-1 macro risk conditions are favourable; otherwise it holds cash.,"PBO and DSR are not perfect, but holdout performance and risk control are strongest among completed studies.",final Applied Project strategy / paper-monitoring candidate,reports/macro_regime_strategy/results.json,8.0,True,True,True,['bootstrap_ci']
meta_gradient_boosting_60,Conservative ML meta-label overlay,1.5815440537485592,0.1731128151875625,-0.0680179219795895,2.7137546468401488,0.0552973977695167,,0.3,0.8849256201524083,,Secondary model attempts to filter or scale an existing signal rather than predict raw returns directly.,Prior enhancement studies did not justify replacing the frozen strategy; holdout uplift was not robust enough.,prior overlay benchmark only,reports\strategy_enhancement_research\development_holdout_retention.csv,,True,True,True,"['cost_50bps_survival', 'bootstrap_ci']"
expansion_first__btc_eth_only__confidence_weight__vol_target_macro_gate,Expansion-first best strategy,0.9929840342105375,0.1131841450473614,-0.07414638580957322,5.479578011620288,0.10270489332576943,True,0.7857142857142857,0.05924364043016521,,"Expansion models seek high-upside crypto states, but prior evidence showed low exposure and weak statistical support.","High headline Sharpe came with low exposure, weak DSR, high PBO, or insufficient CAGR versus frozen macro.",rejected as replacement; diagnostic benchmark,reports/expansion_first_research/results.json,254.0,True,True,True,['bootstrap_ci']
hybrid__btc_eth_only__confidence_weight__vol_target,Hybrid best strategy,1.167825356633814,0.2528131861975591,-0.14015968421977243,8.708703907043876,0.16861641106356032,True,0.7857142857142857,0.09167956674641886,,Benchmark or prior strategy candidate from completed project reports.,"High headline Sharpe came with low exposure, weak DSR, high PBO, or insufficient CAGR versus frozen macro.",rejected as replacement; diagnostic benchmark,reports/expansion_first_research/results.json,254.0,True,True,True,['bootstrap_ci']
inverse_volatility__btc_eth__static,Portfolio optimisation candidate,0.9355581592926691,0.2235807776329819,-0.16942591990898181,10.240290792560227,0.2894981412639405,True,0.9142857142857143,0.12385022125922052,"{'lower': -0.3636711208523606, 'median': 0.9130335226310513, 'upper': 2.3075009646766302}","Portfolio construction changes allocation weights after the frozen signal fires, preserving the underlying alpha source.",No portfolio-construction method provides statistically and economically convincing improvement; keep the original frozen portfolio construction unchanged.,rejected as replacement,reports/portfolio_optimisation/results.json,,True,True,True,[]
trend_scanning_meta_model_biweekly,Trend-scanning selected candidate,0.10246328872421367,-0.041576043225435955,-0.38065335174686554,8.310873605947956,0.633364312267658,False,0.2714285714285714,0.006709942625981754,"{'lower': -1.5150994337532953, 'median': -0.02112150983958995, 'upper': 1.512937379742592}",Secondary model attempts to filter or scale an existing signal rather than predict raw returns directly.,Trend-scanning does not beat the frozen macro strategy after locked-holdout evaluation.,rejected as replacement,reports/trend_scanning_ml/results.json,121.0,True,True,True,[]
random_forest__forward_rank,Cross-sectional ML candidate,-0.1681796366703968,-0.2112588101039417,-0.5446025750460826,,1.0,False,0.2857142857142857,0.0024241532866879764,"{'lower': -1.614636535784934, 'median': -0.2552042773162856, 'upper': 1.3412535239089993}",Cross-sectional momentum ranks liquid assets by relative strength and tests whether winners continue outperforming.,"{'ml_improves': False, 'survives_holdout': False, 'paper_trading': False, 'failure': 'the development-selected ML score did not deliver a statistically supported holdout Sharpe/CAGR improvement over pure momentum; the champion did not retain both positive holdout Sharpe and CAGR'}",rejected as replacement,reports/cross_sectional_momentum/results.json,127.0,True,True,True,['turnover']
derivatives_risk_gate,Derivatives/funding candidate,-0.2328337926162958,-0.0955633569506166,-0.322901577777224,15.604089219330856,0.328996282527881,False,0.9571428571428572,0.002165885713129657,,Derivatives features try to capture funding/crowding/risk-pressure states in futures markets.,Sharpe <= 0.5; CAGR <= 0; fails at 50 bps; annual turnover > 12x,rejected as replacement,reports/derivatives_signals/results.json,112.0,True,True,True,['bootstrap_ci']
gmm_macro_crypto_direct,HMM/GMM macro-regime candidate,-0.8896757968878156,-0.2274253683672344,-0.3868541064615972,4.070631970260223,0.4219330855018587,False,0.07142857142857142,0.0015449714657331517,"{'lower': -2.367275477915672, 'median': -0.8881442809735743, 'upper': 0.6931648597392005}",Unsupervised regime classifiers cluster macro states and test whether those states explain or improve allocation.,Development-selected unsupervised overlay fails locked-holdout replacement criteria; reject it as a replacement and use regimes only for explanation.,rejected as replacement; explanatory only,reports/macro_regime_hmm_gmm/results.json,19.0,True,True,True,[]
rl_fitted_q_linear_btc_eth_r14_raw_return,Risk-aware reinforcement learning candidate,-0.2385108605169819,-0.3510212516138813,-0.6751516430846409,0.0,1.0,False,0.0,0.006606171398315603,,Risk-aware reinforcement learning maps state features to discrete BTC/ETH/cash allocation actions.,holdout Sharpe <= 0.5; holdout CAGR <= 0; max drawdown not better than BTC; does not survive 50 bps,rejected as replacement,reports/rl_crypto_allocation/results.json,40.0,True,True,True,['bootstrap_ci']
