trial_id,timestamp,family,hypothesis_one_line,mechanism_who_loses,params,timeframe,universe,tier,partition_used,n_trades,gross_edge_bps,net_edge_bps_pessimistic,sharpe_raw,gates_passed,gates_failed,outcome,cause_of_death,notes
PRIOR_R6_cascade_both,2026-08-08T01:16:56.077626+00:00,A,"Run 6: liquidation-cascade mean reversion, both directions, 1h perps",forced liquidation sellers are price-insensitive so violent moves overshoot,"k in {1,3,6}, z in {2.5,3,4}, vmult in {1.5,2,3}, hold<=24; 633 sub-trials",1h,20 OKX perps (survivorship-biased),prior,full 2023-2026,1134,-46.25,-46.25,-2.314,8.1 sample size,"8.2,8.3,8.4,8.5,8.6,8.7 + random-entry benchmark",REJECTED,gross-negative overall; worse than 91.5% of random entries; 7/8 gates failed,carried forward from previous phase per Section 1
PRIOR_R6_cascade_longside,2026-08-08T01:16:56.089463+00:00,A,Run 6 DECOMPOSED: fade DOWN-cascades only (long side),forced sellers in a down-cascade must sell at any price; buyer is paid to absorb,"event study, 7228 events",1h,20 OKX perps,prior,full 2023-2026,7228,18.06,-21.57,,,,COST_KILLED,gross +18.06bps is the RIGHT SIGN but < ~40bps round-trip cost floor,"diagnosis: cost-killed, not wrong -- motivates A15 restructured trial"
PRIOR_R6_cascade_shortside,2026-08-08T01:16:56.093642+00:00,A,Run 6 DECOMPOSED: fade UP-cascades only (short side),claimed symmetric overshoot after violent up moves,"event study, 7703 events",1h,20 OKX perps,prior,full 2023-2026,7703,-31.44,-68.79,,,,REJECTED,"GROSS-NEGATIVE: violent up-moves CONTINUE, they do not revert -- wrong-signed hypothesis",do not resurrect; no structural fix can repair a wrong sign
A01_z1.5,2026-08-08T01:46:05.861946+00:00,A,Long when funding z-score extremely negative,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 1.5},1h,135 perps incl delisted,1,development,6742,0.573,-0.7864,-0.612,,,KILLED,net edge -0.7864bps<=0 at pessimistic cost,regimes=2.16/-3.772/-1.327 dd=-99.55%
A02_z1.5,2026-08-08T01:46:06.462850+00:00,A,Short when funding z-score extremely positive,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 1.5},1h,135 perps incl delisted,1,development,3876,-0.4716,-1.2265,-1.361,,,KILLED,net edge -1.2265bps<=0 at pessimistic cost,regimes=-3.456/1.189/-0.901 dd=-99.14%
A01_z2.0,2026-08-08T01:46:07.049682+00:00,A,Long when funding z-score extremely negative,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 2.0},1h,135 perps incl delisted,1,development,5207,0.7058,-0.623,-0.46,,,KILLED,net edge -0.623bps<=0 at pessimistic cost,regimes=2.081/-3.914/-0.822 dd=-99.53%
A02_z2.0,2026-08-08T01:46:07.597797+00:00,A,Short when funding z-score extremely positive,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 2.0},1h,135 perps incl delisted,1,development,3139,-0.3808,-0.9156,-1.23,,,KILLED,net edge -0.9156bps<=0 at pessimistic cost,regimes=-3.014/0.986/-0.41 dd=-97.39%
A01_z3.0,2026-08-08T01:46:08.139694+00:00,A,Long when funding z-score extremely negative,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 3.0},1h,135 perps incl delisted,1,development,3446,0.1677,-1.1485,-0.839,,,KILLED,net edge -1.1485bps<=0 at pessimistic cost,regimes=0.948/-3.587/-1.364 dd=-99.88%
A02_z3.0,2026-08-08T01:46:08.719512+00:00,A,Short when funding z-score extremely positive,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 3.0},1h,135 perps incl delisted,1,development,2126,-0.6074,-1.0595,-1.666,,,KILLED,net edge -1.0595bps<=0 at pessimistic cost,regimes=-2.826/0.086/-0.388 dd=-98.16%
A03_t5e-05,2026-08-08T01:46:09.276098+00:00,A,Funding carry: short perp when funding persistently positive,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'thresh': 5e-05},1h,135 perps incl delisted,1,development,4132,-0.6566,-0.7958,-0.944,,,KILLED,net edge -0.7958bps<=0 at pessimistic cost,regimes=-4.256/2.378/0.018 dd=-96.91%
