strategy,family,group,dataset,turnover_cap,explanation
btc_only_macro_gate,BTC-only macro gate,asset_level_macro_decomposition,top10,0.75,"Same frozen macro gate; risk-on holds BTC, neutral half-size BTC, risk-off cash."
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,top10,0.75,"Same frozen macro gate; risk-on holds ETH, neutral half-size ETH, risk-off cash."
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,top10,0.75,Same frozen macro gate; fixed balanced BTC/ETH when exposure is permitted.
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,frozen_selected_strategy,top10,0.75,Frozen selected strategy generated by the existing btc_eth_macro_gate_balanced implementation.
top10_macro_gated_momentum,Top-10 macro-gated momentum,universe_question,top10,0.75,Existing fixed macro gate applied to top-10 momentum selection; no threshold retuning.
top20_macro_gated_momentum,Top-20 macro-gated momentum,universe_question,top20,0.75,Existing fixed macro gate applied to top-20 momentum selection; no threshold retuning.
equal_weight_top10,Equal-weight top-10,universe_question,top10,10.0,Point-in-time top-10 equal-weight universe comparator.
pure_top10_momentum,Pure top-10 momentum,universe_question,top10,0.75,Top-10 momentum without macro gate; included to diagnose universe and turnover effects.
btc_buy_hold,BTC buy-and-hold,benchmark,top10,10.0,Simple crypto beta benchmark.
eth_buy_hold,ETH buy-and-hold,benchmark,top10,10.0,Simple crypto beta benchmark.
btc_eth_50_50_buy_hold,50/50 BTC/ETH buy-and-hold,benchmark,top10,10.0,Simple balanced BTC/ETH beta benchmark.
equal_weight_top20,Equal-weight top-20,universe_question,top20,10.0,Point-in-time top-20 equal-weight universe comparator.
