feature,family,rationale,availability,used_in_final_overlay
stablecoin_supply_acceleration,liquidity_inflow,acceleration in stablecoin liquidity,available,False
stablecoin_supply_percentile,liquidity_inflow,stablecoin supply relative to its own history,available,False
tvl_acceleration,liquidity_inflow,acceleration in DeFi liquidity,available,False
tvl_percentile,liquidity_inflow,TVL relative to its own history,available,False
combined_crypto_liquidity_impulse,liquidity_inflow,joint stablecoin and TVL liquidity impulse,available,False
top20_above_30dma_pct,participation_breadth,share of top-20 above 30d moving average,available,False
top20_30d_high_pct,participation_breadth,share of top-20 making 30d highs,available,False
eth_btc_relative_strength_14d,leadership,ETH/BTC 14d relative strength,available,False
eth_btc_relative_strength_30d,leadership,ETH/BTC 30d relative strength,available,False
market_dollar_volume_growth_30d,volume_attention,market dollar-volume growth,available,False
volume_confirmation_of_price_trend,volume_attention,volume breadth confirming price breadth,available,False
volatility_of_volatility,volatility_structure,volatility-of-volatility,available,False
dispersion_acceleration,volatility_structure,cross-sectional dispersion acceleration,available,False
upside_semivariance,volatility_structure,upside volatility participation,available,False
downside_to_upside_volatility_ratio,volatility_structure,downside-to-upside volatility balance,available,False
jump_intensity,volatility_structure,frequency of large market moves,available,False
distance_from_90d_lows,recovery_capitulation,average distance from 90d lows,available,False
recovery_from_drawdown,recovery_capitulation,market recovery from recent drawdown trough,available,False
falling_vix_after_high_vix,macro_recovery,falling VIX after high-volatility regime,available,False
risk_appetite_recovery_score,macro_recovery,combined macro risk-appetite recovery score,available,False
