source_name,access_method,requires_api_key,key_found_in_env,free_or_paid,historical_depth_available,earliest_available_date,frequency,assets_chains_covered,status,reason,rate_limits_encountered,latest_available_date,missingness,timestamp_reliability,publication_lag,point_in_time_safety,survivorship_risk,cost_risk,reproducibility_risk
Binance spot klines,https public REST,False,False,free,yes,2017-08-17,daily/intraday,"BTC, ETH, broad spot",accepted,public OHLCV is reproducible,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
Binance futures funding,https public REST,False,False,free,yes,2019+,8h/daily,perpetual futures,accepted,funding history usable with lag,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
DefiLlama TVL/stablecoins,https public REST,False,False,free,yes,2020+,daily,chains/protocols/stablecoins,accepted,free daily crypto-native liquidity data; lag by one day,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
CoinGecko markets,https public REST,False,False,free/limited,partial,variable,daily,market caps/prices,future-work,survivorship/rate-limit risk,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
Etherscan,API key REST,True,False,free/paid,partial,chain genesis,daily aggregates via API,Ethereum,future-work,key-dependent and endpoints need audited lag,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
Alchemy/Infura/QuickNode RPC,RPC provider,True,False,free/paid,no for large history,chain genesis,block-level,Ethereum/EVM,future-work,historical aggregate extraction costly,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
Glassnode/CryptoQuant/Santiment,vendor API,True,False,paid/limited,yes,varies,daily,on-chain analytics,rejected,not configured as free reproducible source,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
CoinMetrics community,csv/http,False,False,free,yes,varies,daily,BTC/ETH network metrics,future-work,candidate for future cached download,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
WRDS/local macro,local files,False,False,configured,yes,varies,daily,VIX/equities/credit,accepted,existing project macro features,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
Order book/depth/liquidations/options,exchange/vendor,True,False,paid/unknown,limited,varies,intraday,microstructure/options,rejected,historical depth/options unavailable,not materially tested,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason,documented in reason
