source,available,access_method,start_date,end_date,frequency,assets,point_in_time_safe,known_reporting_lag,cost_or_api_key_required,usable_for_backtest,reason_if_unusable,category,acceptance_classification
Blockchain.com BTC active addresses,True,local processed public Blockchain.com chart,2009-01-03,2026-06-24,irregular daily chart samples,BTC,True,unknown; lag by at least one day after UTC date close,False,True,,on-chain,accepted
Blockchain.com BTC transaction count,True,local processed public Blockchain.com chart,2009-01-17,2026-06-24,irregular daily chart samples,BTC,True,unknown; lag by at least one day after UTC date close,False,True,,on-chain,accepted
Exchange inflows/outflows/netflow,False,not available locally; usually requires entity-labelled on-chain provider,,,daily if licensed,BTC/ETH,False,provider-specific,True,False,No entity-labelled exchange-flow dataset is available locally; cannot fabricate flows.,on-chain,future-work only
MVRV / realized cap / holder cohorts / whale balances / miner flows,False,not available locally; Coin Metrics/Glassnode-style data required,,,daily if licensed,BTC/ETH,False,provider-specific and potentially revised,True,False,"No point-in-time MVRV, realized-cap, holder cohort, whale, or miner-flow history is available locally.",on-chain,future-work only
BTC/ETH ETF daily flows,False,prior public Farside-style extraction was blocked/unstructured; WRDS ETF mapping not audited,,,daily if available,BTC/ETH ETFs,False,publication timestamp must be audited,False,False,No locally usable point-in-time ETF flow/AUM file; public table extraction was previously blocked and WRDS mapping/reporting lag is not confirmed.,ETF flows,future-work only
Deribit BTC/ETH historical volatility endpoint,True,local processed Deribit public endpoint sample,2026-06-10,2026-06-26,daily/intraday sample,BTC/ETH,True,exchange timestamp; public endpoint history is short,False,False,Endpoint sample exists but does not cover at least 24 months before 2025-01-01.,options-implied,monitoring-only
Options skew / put-call / term structure / risk reversal,False,not available locally; full options surface required,,,daily/intraday if licensed,BTC/ETH,False,exchange/vendor timestamp and option expiry timestamp required,True,False,"No full historical crypto option surface, skew, put/call, or term-structure dataset is available locally.",options-implied,future-work only
Binance futures derivatives/crowding,True,local processed Binance futures public endpoints,2019-09-10,2026-06-22,daily,BTC/ETH and broader listed futures where available,True,exchange timestamp; lagged by at least one day,False,True,,derivatives/crowding,accepted
Liquidations,False,not available locally,,,intraday/daily if provider available,BTC/ETH,False,provider-specific,True,False,No liquidation dataset is available locally.,derivatives/crowding,future-work only
CME/CFTC futures positioning,False,not available locally; CFTC/CME mapping needed,,,weekly,BTC/ETH futures if mapped,False,COT reports have publication lag; contract mapping must be point-in-time audited,False,False,No CME/CFTC crypto positioning file with audited reporting lag is available locally.,institutional futures positioning,future-work only
WRDS macro/vintage risk variables,True,local processed WRDS/FRED/market macro file,2019-01-01,2026-06-22,daily/monthly variables forward-filled to daily,macro,True,economic releases and WRDS fields are lagged in feature engineering; revision risk documented,False,True,,macro/vintage,accepted
