feature,family,formula,source,lag,availability,economic_rationale
btc_active_address_growth_30d,on-chain,"pct_change(active addresses, 30d), lagged 1 day",Blockchain.com charts API,1 day,implemented,Rising BTC address activity can proxy broader network participation and attention before upside expansion.
btc_active_address_growth_7d,on-chain,"pct_change(active addresses, 7d), lagged 1 day",Blockchain.com charts API,1 day,implemented,Rising BTC address activity can proxy broader network participation and attention before upside expansion.
btc_transaction_growth_30d,on-chain,"pct_change(transaction count, 30d), lagged 1 day",Blockchain.com charts API,1 day,implemented,Rising BTC transaction count can proxy chain usage and settlement demand before upside expansion.
btc_transaction_growth_7d,on-chain,"pct_change(transaction count, 7d), lagged 1 day",Blockchain.com charts API,1 day,implemented,Rising BTC transaction count can proxy chain usage and settlement demand before upside expansion.
etf_net_flow,ETF flows,daily BTC/ETH ETF net flow,Farside/WRDS ETF-flow source unavailable or not point-in-time audited,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
etf_flow_as_pct_aum,ETF flows,net flow divided by AUM,ETF AUM/flow source unavailable,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
etf_5d_flow,ETF flows,5-day net ETF flow,ETF-flow source unavailable,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
etf_21d_flow,ETF flows,21-day net ETF flow,ETF-flow source unavailable,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
etf_flow_acceleration,ETF flows,5-day flow minus prior 5-day flow,ETF-flow source unavailable,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
etf_flow_percentile,ETF flows,rolling percentile of ETF flow,ETF-flow source unavailable,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
etf_inflow_streak,ETF flows,consecutive days of positive flow,ETF-flow source unavailable,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
etf_outflow_shock,ETF flows,large negative flow shock,ETF-flow source unavailable,1 day,unavailable,ETF flows would proxy regulated institutional demand if timely data were available.
exchange_flow_pressure,on-chain,exchange inflow minus outflow pressure,entity-labeled exchange-flow data unavailable,1 day,unavailable,Potential new-data feature; excluded unless available and development-validated.
mvrv_percentile,on-chain,MVRV rolling percentile,MVRV/realized-cap source unavailable,1 day,unavailable,Valuation and realized-cap measures can identify undervaluation/repricing regimes if methodology and vintages are available.
realized_cap_growth,on-chain,realized cap growth,realized-cap source unavailable,1 day,unavailable,Valuation and realized-cap measures can identify undervaluation/repricing regimes if methodology and vintages are available.
holder_accumulation_proxy,on-chain,holder accumulation proxy,holder cohort/source unavailable,1 day,unavailable,Potential new-data feature; excluded unless available and development-validated.
option_iv_level,options-implied,constant-maturity IV level,full options surface history unavailable,1 day,unavailable,Option-implied variables would proxy forward-looking risk appetite and tail pricing if historical surfaces were available.
option_iv_change,options-implied,change in IV,full options surface history unavailable,1 day,unavailable,Option-implied variables would proxy forward-looking risk appetite and tail pricing if historical surfaces were available.
option_skew_level,options-implied,put/call skew level,full options surface history unavailable,1 day,unavailable,Option-implied variables would proxy forward-looking risk appetite and tail pricing if historical surfaces were available.
option_skew_change,options-implied,change in skew,full options surface history unavailable,1 day,unavailable,Option-implied variables would proxy forward-looking risk appetite and tail pricing if historical surfaces were available.
option_put_call_change,options-implied,put/call ratio change,put/call history unavailable,1 day,unavailable,Option-implied variables would proxy forward-looking risk appetite and tail pricing if historical surfaces were available.
option_term_structure_slope,options-implied,long IV minus short IV,full term structure unavailable,1 day,unavailable,Option-implied variables would proxy forward-looking risk appetite and tail pricing if historical surfaces were available.
option_risk_reversal_proxy,options-implied,call IV minus put IV,risk reversal history unavailable,1 day,unavailable,Option-implied variables would proxy forward-looking risk appetite and tail pricing if historical surfaces were available.
