source_family,source,status,start_date,end_date,observations,frequency,timestamp_convention,reporting_lag,point_in_time_usable,notes,url_or_wrds_table
on-chain,Blockchain.com btc transaction count,downloaded,2009-01-17,2026-06-24,1592,irregular/daily chart samples,chart timestamp is UTC date supplied by API,unknown; treated as available after date close and lagged one day,True,Usable as BTC-only public on-chain activity proxy; not entity-adjusted and not exchange-flow data.,https://api.blockchain.info/charts/n-transactions?timespan=all&format=json
on-chain,Blockchain.com btc active addresses,downloaded,2009-01-03,2026-06-24,1589,irregular/daily chart samples,chart timestamp is UTC date supplied by API,unknown; treated as available after date close and lagged one day,True,Usable as BTC-only public on-chain activity proxy; not entity-adjusted and not exchange-flow data.,https://api.blockchain.info/charts/n-unique-addresses?timespan=all&format=json
options-implied,Deribit BTC historical volatility endpoint,downloaded_short_history,2026-06-10,2026-06-26,17,intraday endpoint aggregated to daily,exchange timestamp UTC,public endpoint; no full historical option-surface vintage available,False,Endpoint is reachable but does not provide enough 2019-2026 history for this study; no options feature enters the model.,https://www.deribit.com/api/v2/public/get_historical_volatility?currency=BTC
options-implied,Deribit ETH historical volatility endpoint,downloaded_short_history,2026-06-10,2026-06-26,17,intraday endpoint aggregated to daily,exchange timestamp UTC,public endpoint; no full historical option-surface vintage available,False,Endpoint is reachable but does not provide enough 2019-2026 history for this study; no options feature enters the model.,https://www.deribit.com/api/v2/public/get_historical_volatility?currency=ETH
ETF flows,WRDS ETF/fund-flow tables,potential_wrds_matches_found,,,118,unknown from inventory,WRDS table date columns; publication timestamp must be audited per table,unknown until table-specific download/audit,False,"Potential institutional-flow source, but BTC/ETH ETF identifier mapping and reporting lag are not confirmed. Matched 118 candidate table(s); no large WRDS dataset downloaded in this module.",crsp.fund_flows; crsp.holdings; crsp.holdings_co_info; crspsamp.holdings; crspsamp_mf.holdings; csmar.fund_etfmartra; csmar.fund_portfolio_abs; csmar.fund_portfolio_bond
options-implied,WRDS OptionMetrics/CBOE tables,potential_wrds_tables_found,date: 1996-01-04 to 1996-12-31,date: 1996-01-04 to 1996-12-31,154,daily/date-stamped likely,WRDS table date columns; publication timestamp must be audited per table,unknown until table-specific download/audit,False,Useful for equity/index option risk proxies; prior inventory did not identify complete crypto options surfaces. Matched 154 table(s); no large WRDS dataset downloaded in this module.,optionm.opprcd1996; optionm.opprcd1997; optionm.opprcd1998; optionm.opprcd1999; optionm.opprcd2000; optionm.opprcd2001; optionm.opprcd2002; optionm.opprcd2003
news/sentiment,WRDS RavenPack/news tables,potential_wrds_matches_found,,,341,unknown from inventory,WRDS table date columns; publication timestamp must be audited per table,unknown until table-specific download/audit,False,"Potential sentiment source if licensed; high-dimensional and timestamp-sensitive, not downloaded here. Matched 341 candidate table(s); no large WRDS dataset downloaded in this module.",audit.f37_form_d_entity; audit.f38_form_d_entity; bank.lei_successorentity; calcbench_trial.entity_names; calcbnch.entity_names; ciq.spentityleveldata; ciq.spentitysector; ciq.spentitysectorcode
ETF flows,Farside Bitcoin ETF flow table,not_downloaded_structured_table_unavailable,,,0,daily if accessible,web table date convention must be audited,same/next-day web publication; exact timestamp unavailable,False,"Public page was identified, but structured table extraction returned HTTP 403 in this environment; no ETF-flow data was used.",https://farside.co.uk/bitcoin-etf-flow-all-data/
ETF flows,Farside Ethereum ETF flow table,not_downloaded_structured_table_unavailable,,,0,daily if accessible,web table date convention must be audited,same/next-day web publication; exact timestamp unavailable,False,"Public page was identified, but structured table extraction returned HTTP 403 in this environment; no ETF-flow data was used.",https://farside.co.uk/ethereum-etf-flow-all-data/
on-chain,Coin Metrics community asset metrics API,unavailable,,,0,unknown,unknown,unknown,False,"Potential source for active addresses, transaction count, realized cap, and MVRV; access was blocked/unauthenticated in this environment. Access check failed: HTTPError: HTTP Error 400: Bad Request",https://community-api.coinmetrics.io/v4/timeseries/asset-metrics
