strategy_name,facts_score,facts_comment,understanding_score,understanding_comment,governance_score,governance_comment,outcome_score,outcome_comment,process_reward,final_score,decision,short_reason
btc_eth_macro_gate_balanced,1.0,Missing non-fabricated fields: bootstrap_ci.,0.9,Clear economic interpretation: macro-risk gate controls BTC/ETH exposure and cash allocation.,0.8993882530092777,PBO high (61.4%); DSR weak (42.4%),0.8062503571241078,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: PBO penalty, DSR penalty.",0.9060665473276048,0.8870346882457572,monitor,Frozen selected strategy remains the paper-monitoring benchmark.
meta_gradient_boosting_60,0.9437500000000001,"Missing non-fabricated fields: cost_50bps_survival, bootstrap_ci.",0.75,Benchmark has simple interpretation but is not an alpha candidate.,0.78,exposure below 15% (5.5%),0.6156447817365035,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: low exposure/cash-driven risk.",0.7805664563473007,0.7492256736077763,reject,Rejected by mechanical governance: low exposure suggests cash-driven improvement.
expansion_first__btc_eth_only__confidence_weight__vol_target_macro_gate,1.0,Missing non-fabricated fields: bootstrap_ci.,0.75,Benchmark has simple interpretation but is not an alpha candidate. Low-exposure/cash-driven improvement risk must be checked.,0.4024789630722255,PBO high (78.6%); DSR weak (5.9%); exposure below 15% (10.3%),0.437385741278259,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: PBO penalty, DSR penalty, low exposure/cash-driven risk.",0.6457208371773194,0.6037047502154471,reject,Rejected by mechanical governance: PBO exceeds acceptable threshold.
hybrid__btc_eth_only__confidence_weight__vol_target,1.0,Missing non-fabricated fields: bootstrap_ci.,0.75,Benchmark has simple interpretation but is not an alpha candidate. Low-exposure/cash-driven improvement risk must be checked.,0.6386969262303523,PBO high (78.6%); DSR weak (9.2%),0.6843112849609552,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: PBO penalty, DSR penalty.",0.7659713348612968,0.7491831812939225,reject,Rejected by mechanical governance: PBO exceeds acceptable threshold.
inverse_volatility__btc_eth__static,1.0,Core metrics and validation provenance are present.,0.75,"Investment logic is identifiable, but prior evidence did not justify replacing the frozen strategy.",0.5040679677724674,PBO high (91.4%); DSR weak (12.4%); bootstrap Sharpe CI includes weak/negative outcomes,0.6095993114044357,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: PBO penalty, DSR penalty.",0.7106402526126273,0.6893767509346693,reject,Rejected by mechanical governance: PBO exceeds acceptable threshold.
trend_scanning_meta_model_biweekly,1.0,Core metrics and validation provenance are present.,0.75,"Investment logic is identifiable, but prior evidence did not justify replacing the frozen strategy.",0.4733549713129909,DSR weak (0.7%); bootstrap Sharpe CI includes weak/negative outcomes; negative holdout CAGR; higher model/process complexity,0.06078723903103425,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: DSR penalty, negative CAGR.",0.5916639392001041,0.48961427648910977,reject,Rejected by mechanical governance: Deflated Sharpe probability is too weak.
random_forest__forward_rank,0.9437500000000001,Missing non-fabricated fields: turnover.,0.55,Economic rationale is only partly specified.,0.471212076643344,DSR weak (0.2%); bootstrap Sharpe CI includes weak/negative outcomes; negative holdout CAGR; higher model/process complexity,0.0,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: DSR penalty, negative CAGR.",0.5148011229930032,0.4165530191608361,reject,Rejected by mechanical governance: Deflated Sharpe probability is too weak.
derivatives_risk_gate,1.0,Missing non-fabricated fields: bootstrap_ci.,0.75,"Investment logic is identifiable, but prior evidence did not justify replacing the frozen strategy.",0.24153169484806772,PBO high (95.7%); DSR weak (0.2%); turnover above 12x (15.60); negative holdout CAGR,0.0,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: PBO penalty, DSR penalty, negative CAGR.",0.5099595084544203,0.41038292371201696,reject,Rejected by mechanical governance: PBO exceeds acceptable threshold.
gmm_macro_crypto_direct,1.0,Core metrics and validation provenance are present.,0.75,"Investment logic is identifiable, but prior evidence did not justify replacing the frozen strategy.",0.4707724857328666,DSR weak (0.2%); bootstrap Sharpe CI includes weak/negative outcomes; negative holdout CAGR; higher model/process complexity,0.0,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: DSR penalty, negative CAGR.",0.57873174571986,0.4676931214332167,reject,Rejected by mechanical governance: Deflated Sharpe probability is too weak.
rl_fitted_q_linear_btc_eth_r14_raw_return,1.0,Missing non-fabricated fields: bootstrap_ci.,0.65,"Investment logic is identifiable, but prior evidence did not justify replacing the frozen strategy. RL policy is less transparent than rule-based candidates.",0.5533030856991578,DSR weak (0.7%); negative holdout CAGR; higher model/process complexity,0.0,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: DSR penalty, negative CAGR.",0.5784909257097473,0.4683257714247895,reject,Rejected by mechanical governance: Deflated Sharpe probability is too weak.
btc_buy_hold,0.8875000000000001,"Missing non-fabricated fields: pbo, dsr_probability, bootstrap_ci.",0.75,Benchmark has simple interpretation but is not an alpha candidate.,0.6900000000000001,PBO missing; DSR missing; negative holdout CAGR,0.1,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: negative CAGR.",0.6363750000000001,0.535,benchmark only,Benchmark is not eligible for replacement.
eth_buy_hold,0.8875000000000001,"Missing non-fabricated fields: pbo, dsr_probability, bootstrap_ci.",0.75,Benchmark has simple interpretation but is not an alpha candidate.,0.6900000000000001,PBO missing; DSR missing; negative holdout CAGR,0.10229782789660363,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: negative CAGR.",0.6368345655793208,0.5358042397638113,benchmark only,Benchmark is not eligible for replacement.
btc_eth_50_50,0.8875000000000001,"Missing non-fabricated fields: pbo, dsr_probability, bootstrap_ci.",0.75,Benchmark has simple interpretation but is not an alpha candidate.,0.6900000000000001,PBO missing; DSR missing; negative holdout CAGR,0.1,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: negative CAGR.",0.6363750000000001,0.535,benchmark only,Benchmark is not eligible for replacement.
pure_top10_momentum,0.8875000000000001,"Missing non-fabricated fields: pbo, dsr_probability, bootstrap_ci.",0.75,Benchmark has simple interpretation but is not an alpha candidate.,0.5100000000000001,PBO missing; DSR missing; turnover above 12x (24.14); negative holdout CAGR,0.019072321457420244,"Outcome score rewards Sharpe, CAGR, drawdown, exposure, turnover and 50 bps survival. Penalties: negative CAGR.",0.5661894642914841,0.46167531251009714,benchmark only,Benchmark is not eligible for replacement.
