feature,family,level,lookback_window,lag,source,rationale,formula
equity_momentum_21d,equity_risk,market,S&P/CRSP equity index 21d pct_change,1 calendar day after feature calculation,CRSP index,Equity risk appetite often transmits into crypto beta.,S&P/CRSP equity index 21d pct_change
equity_momentum_63d,equity_risk,market,S&P/CRSP equity index 63d pct_change,1 calendar day after feature calculation,CRSP index,Medium-term equity trend as risk-on/risk-off proxy.,S&P/CRSP equity index 63d pct_change
equity_drawdown_252d,equity_risk,market,Index / trailing 252d high - 1,1 calendar day after feature calculation,CRSP index,Equity drawdown captures broad risk stress.,Index / trailing 252d high - 1
equity_realized_vol_21d,equity_risk,market,21d annualized equity realized volatility,1 calendar day after feature calculation,CRSP index,Equity volatility is a risk-regime proxy.,21d annualized equity realized volatility
vix_level,volatility_risk,market,CBOE VIX close,1 calendar day after feature calculation,CBOE,High VIX indicates hostile global risk conditions.,CBOE VIX close
vix_change_5d,volatility_risk,market,VIX 5d difference,1 calendar day after feature calculation,CBOE,Rapid volatility increases can precede crypto de-risking.,VIX 5d difference
vix_change_21d,volatility_risk,market,VIX 21d difference,1 calendar day after feature calculation,CBOE,Medium-term volatility trend.,VIX 21d difference
vix_percentile_252d,volatility_risk,market,VIX percentile versus trailing 252d history,1 calendar day after feature calculation,CBOE,Normalizes volatility level across regimes.,VIX percentile versus trailing 252d history
nasdaq_vol_level,volatility_risk,market,VXN close,1 calendar day after feature calculation,CBOE,Equity-index volatility proxy.,VXN close
dow_vol_level,volatility_risk,market,VXD close,1 calendar day after feature calculation,CBOE,Equity-index volatility proxy.,VXD close
rates_10y_level,rates,market,10y Treasury yield level,1 calendar day after feature calculation,FRB,Higher rates can pressure speculative duration-like assets.,10y Treasury yield level
rates_10y_change_21d,rates,market,10y Treasury yield 21d difference,1 calendar day after feature calculation,FRB,Rates shocks can mark hostile macro regimes.,10y Treasury yield 21d difference
rates_10y_change_63d,rates,market,10y Treasury yield 63d difference,1 calendar day after feature calculation,FRB,Medium-term rates trend.,10y Treasury yield 63d difference
fed_funds_level,rates,market,Effective fed funds rate,1 calendar day after feature calculation,FRB,Policy-rate regime proxy.,Effective fed funds rate
sofr_level,rates,market,SOFR level,1 calendar day after feature calculation,FRB,Short-rate/liquidity proxy.,SOFR level
real_yield_10y_level,rates,market,10y TIPS real yield,1 calendar day after feature calculation,FRB,Real yields can reduce appetite for speculative assets.,10y TIPS real yield
real_yield_10y_change_21d,rates,market,10y real yield 21d difference,1 calendar day after feature calculation,FRB,Real-rate shock proxy.,10y real yield 21d difference
yield_curve_slope_10y2y,rates,market,10y yield - 2y yield or FRB T10Y2Y,1 calendar day after feature calculation,FRB,Curve slope captures growth/liquidity regime.,10y yield - 2y yield or FRB T10Y2Y
yield_curve_slope_change_21d,rates,market,10y-2y slope 21d difference,1 calendar day after feature calculation,FRB,Curve-steepening/flattening shock.,10y-2y slope 21d difference
yield_curve_slope_10y3m,rates,market,10y-3m slope,1 calendar day after feature calculation,FRB,Alternative recession/risk-state proxy.,10y-3m slope
credit_spread_level,credit,market,High-yield spread level,1 calendar day after feature calculation,FRB/FRED,Credit stress proxy.,High-yield spread level
credit_spread_change_21d,credit,market,High-yield spread 21d difference,1 calendar day after feature calculation,FRB/FRED,Credit stress acceleration.,High-yield spread 21d difference
usd_trend_21d,usd,market,Trade-weighted USD 21d pct_change,1 calendar day after feature calculation,FRB FX,USD strength can be hostile to crypto liquidity.,Trade-weighted USD 21d pct_change
usd_trend_63d,usd,market,Trade-weighted USD 63d pct_change,1 calendar day after feature calculation,FRB FX,Medium-term dollar trend.,Trade-weighted USD 63d pct_change
usd_change_5d,usd,market,Trade-weighted USD 5d pct_change,1 calendar day after feature calculation,FRB FX,Short USD shock proxy.,Trade-weighted USD 5d pct_change
macro_risk_on_composite,macro_composite,market,"Equal-weighted trailing z-scores of equity trend, drawdown, VIX, rates, USD, curve, and credit risk",1 calendar day after feature calculation,WRDS macro blend,Single predeclared risk-on/risk-off macro summary.,"Equal-weighted trailing z-scores of equity trend, drawdown, VIX, rates, USD, curve, and credit risk"
